y,y,information,information.n.01,a message received and understood
n,y,information,information.n.02,knowledge acquired through study or experience or instruction
y,y,information,information.n.03,formal accusation of a crime
y,y,information,data.n.01,a collection of facts from which conclusions may be drawn
y,n,information,information.n.05,(communication theory) a numerical measure of the uncertainty of an outcome
n,n,problem,problem.n.01,a state of difficulty that needs to be resolved
y,y,problem,problem.n.02,a question raised for consideration or solution
n,n,problem,trouble.n.01,a source of difficulty
y,n,value,value.n.01,a numerical quantity measured or assigned or computed
n,n,value,value.n.02,the quality (positive or negative) that renders something desirable or valuable
y,n,value,value.n.03,the amount (of money or goods or services) that is considered to be a fair equivalent for something else
n,n,value,value.n.04,relative darkness or lightness of a color
n,n,value,value.n.05,(music) the relative duration of a musical note
n,n,value,value.n.06,an ideal accepted by some individual or group
y,n,type,type.n.01,a subdivision of a particular kind of thing
n,n,type,character.n.05,a person of a specified kind (usually with many eccentricities)
n,n,type,type.n.03,(biology) the taxonomic group whose characteristics are used to define the next higher taxon
y,y,type,type.n.04,printed characters
y,n,type,type.n.05,all of the tokens of the same symbol
n,n,type,type.n.06,a small metal block bearing a raised character on one end; produces a printed character when inked and pressed on paper
n,n,process,procedure.n.01,a particular course of action intended to achieve a result
n,n,process,process.n.02,(psychology) the performance of some composite cognitive activity; an operation that affects mental contents
y,y,process,summons.n.03,a writ issued by authority of law; usually compels the defendant's attendance in a civil suit; failure to appear results in a default judgment against the defendant
n,n,process,process.n.04,a mental process that you are not directly aware of
n,n,process,process.n.05,a natural prolongation or projection from a part of an organism either animal or plant
n,n,process,process.n.06,a sustained phenomenon or one marked by gradual changes through a series of states
n,n,feature,feature.n.01,a prominent attribute or aspect of something
n,n,feature,feature.n.02,the characteristic parts of a person's face: eyes and nose and mouth and chin
y,y,feature,feature.n.03,the principal (full-length) film in a program at a movie theater
y,y,feature,feature.n.04,a special or prominent article in a newspaper or magazine
y,n,feature,feature_of_speech.n.01,(linguistics) a distinctive characteristic of a linguistic unit that serves to distinguish it from other units of the same kind
n,n,feature,feature.n.06,an article of merchandise that is displayed or advertised more than other articles
y,n,number,number.n.01,the property possessed by a sum or total or indefinite quantity of units or individuals
y,n,number,number.n.02,a concept of quantity involving zero and units
n,y,number,act.n.04,a short theatrical performance that is part of a longer program
n,n,number,phone_number.n.01,the number is used in calling a particular telephone
y,y,number,numeral.n.01,a symbol used to represent a number
y,y,number,issue.n.02,one of a series published periodically
n,n,number,number.n.07,a select company of people
y,n,number,number.n.08,a numeral or string of numerals that is used for identification
y,n,number,number.n.09,a clothing measurement
n,n,number,number.n.10,the grammatical category for the forms of nouns and pronouns and verbs that are used depending on the number of entities involved (singular or dual or plural)
n,n,number,number.n.11,an item of merchandise offered for sale
y,y,text,text.n.01,the words of something written
y,y,text,text.n.02,a passage from the Bible that is used as the subject of a sermon
y,y,text,textbook.n.01,a book prepared for use in schools or colleges
y,y,text,text.n.04,the main body of a written work (as distinct from illustrations or footnotes etc.)
y,y,equation,equation.n.01,a mathematical statement that two expressions are equal
n,n,equation,equality.n.02,a state of being essentially equal or equivalent; equally balanced
n,n,equation,equation.n.03,the act of regarding as equal
y,y,method,method.n.01,"a way of doing something, especially a systematic way; implies an orderly logical arrangement (usually in steps)"
n,n,method,method_acting.n.01,an acting technique introduced by Stanislavsky in which the actor recalls emotions or reactions from his or her own life and uses them to identify with the character being portrayed
y,y,program,plan.n.01,a series of steps to be carried out or goals to be accomplished
n,n,program,program.n.02,a system of projects or services intended to meet a public need
y,y,program,broadcast.n.02,a radio or television show
y,y,program,platform.n.02,a document stating the aims and principles of a political party
y,y,program,program.n.05,an announcement of the events that will occur as part of a theatrical or sporting event
n,y,program,course_of_study.n.01,an integrated course of academic studies
y,y,program,program.n.07,(computer science) a sequence of instructions that a computer can interpret and execute
n,n,program,program.n.08,a performance (or series of performances) at a public presentation
y,y,sentence,sentence.n.01,a string of words satisfying the grammatical rules of a language
y,y,sentence,conviction.n.02,(criminal law) a final judgment of guilty in a criminal case and the punishment that is imposed
n,n,sentence,prison_term.n.01,the period of time a prisoner is imprisoned
y,y,question,question.n.01,an instance of questioning
y,y,question,question.n.02,the subject matter at issue
y,y,question,question.n.03,a sentence of inquiry that asks for a reply
y,y,question,doubt.n.02,uncertainty about the truth or factuality or existence of something
y,y,question,motion.n.05,a formal proposal for action made to a deliberative assembly for discussion and vote
y,n,question,question.n.06,an informal reference to a marriage proposal
y,y,file,file.n.01,a set of related records (either written or electronic) kept together
n,n,file,file.n.02,a line of persons or things ranged one behind the other
n,n,file,file.n.03,office furniture consisting of a container for keeping papers in order
n,n,file,file.n.04,a steel hand tool with small sharp teeth on some or all of its surfaces; used for smoothing wood or metal
n,n,property,property.n.01,something owned; any tangible or intangible possession that is owned by someone; 
n,n,property,property.n.02,a basic or essential attribute shared by all members of a class
n,n,property,place.n.02,any area set aside for a particular purpose
n,n,property,property.n.04,a construct whereby objects or individuals can be distinguished
n,n,property,property.n.05,any movable articles or objects used on the set of a play or movie
