n,point,point.n.17,a linear unit used to measure the size of type; approximately 1/72 inch
n,point,point.n.18,one percent of the total principal of a loan; it is paid at the time the loan is made and is independent of the interest on the loan
n,point,period.n.07,a punctuation mark (.) placed at the end of a declarative sentence to indicate a full stop or after abbreviations
n,point,point.n.20,a V-shaped mark at one end of an arrow pointer
n,point,decimal_point.n.01,the dot at the left of a decimal fraction
n,point,point.n.22,the property of a shape that tapers to a sharp tip
n,point,point.n.23,a distinguishing or individuating characteristic
n,point,point.n.24,the gun muzzle's direction
n,point,point.n.25,a wall socket
n,point,distributor_point.n.01,a contact in the distributor; as the rotor turns its projecting arm contacts them and current flows to the spark plugs
y,section,section.n.01,a self-contained part of a larger composition (written or musical)
n,section,section.n.02,a very thin slice (of tissue or mineral or other substance) for examination under a microscope
n,section,section.n.03,a distinct region or subdivision of a territorial or political area or community or group of people
n,section,section.n.04,one of several parts or pieces that fit with others to constitute a whole object
n,section,section.n.05,a small team of policemen working as part of a police platoon
n,section,part.n.09,one of the portions into which something is regarded as divided and which together constitute a whole
n,section,section.n.07,a land unit equal to 1 square mile
n,section,section.n.08,(geometry) the area created by a plane cutting through a solid
n,section,section.n.09,a small class of students who are part of a larger course but are taught separately
n,section,section.n.10,a division of an orchestra containing all instruments of the same class
n,section,section.n.11,a small army unit usually having a special function
n,section,department.n.01,a specialized division of a large organization
n,section,section.n.13,a segment of a citrus fruit
n,section,incision.n.02,the cutting of or into body tissues or organs (especially by a surgeon as part of an operation)
n,way,manner.n.01,how something is done or how it happens
n,way,means.n.01,how a result is obtained or an end is achieved
n,way,direction.n.01,a line leading to a place or point
n,way,way.n.04,the condition of things generally
n,way,way.n.05,a course of conduct
n,way,way.n.06,any artifact consisting of a road or path affording passage from one place to another
n,way,way.n.07,a journey or passage
n,way,room.n.02,space for movement
n,way,way.n.09,the property of distance in general
n,way,way.n.10,doing as one pleases or chooses
n,way,way.n.11,a general category of things; used in the expression `in the way of'
n,way,way.n.12,a portion of something divided into shares
n,option,option.n.01,the right to buy or sell property at an agreed price; the right is purchased and if it is not exercised by a stated date the money is forfeited
n,option,option.n.02,one of a number of things from which only one can be chosen
n,option,choice.n.02,the act of choosing or selecting
n,time,time.n.01,an instance or single occasion for some event
n,time,time.n.02,a period of time considered as a resource under your control and sufficient to accomplish something
n,time,time.n.03,an indefinite period (usually marked by specific attributes or activities)
n,time,time.n.04,a suitable moment
n,time,time.n.05,the continuum of experience in which events pass from the future through the present to the past
n,time,time.n.06,a person's experience on a particular occasion
n,time,clock_time.n.01,a reading of a point in time as given by a clock
n,time,fourth_dimension.n.01,the fourth coordinate that is required (along with three spatial dimensions) to specify a physical event
n,time,meter.n.04,rhythm as given by division into parts of equal duration
n,time,prison_term.n.01,the period of time a prisoner is imprisoned
y,message,message.n.01,a communication (usually brief) that is written or spoken or signaled
y,message,message.n.02,what a communication that is about something is about
y,function,function.n.01,(mathematics) a mathematical relation such that each element of a given set (the domain of the function) is associated with an element of another set (the range of the function)
n,function,function.n.02,what something is used for
n,function,function.n.03,the actions and activities assigned to or required or expected of a person or group
n,function,function.n.04,a relation such that one thing is dependent on another
n,function,function.n.05,a formal or official social gathering or ceremony
n,function,affair.n.03,a vaguely specified social event
y,function,routine.n.03,"a set sequence of steps, part of larger computer program"
y,chapter,chapter.n.01,a subdivision of a written work; usually numbered and titled
n,chapter,chapter.n.02,any distinct period in history or in a person's life
n,chapter,chapter.n.03,a local branch of some fraternity or association
n,chapter,chapter.n.04,an ecclesiastical assembly of the monks in a monastery or even of the canons of a church
n,chapter,chapter.n.05,a series of related events forming an episode
y,information,information.n.01,a message received and understood
y,information,information.n.02,knowledge acquired through study or experience or instruction
y,information,information.n.03,formal accusation of a crime
y,information,data.n.01,a collection of facts from which conclusions may be drawn
y,information,information.n.05,(communication theory) a numerical measure of the uncertainty of an outcome
n,problem,problem.n.01,a state of difficulty that needs to be resolved
y,problem,problem.n.02,a question raised for consideration or solution
n,problem,trouble.n.01,a source of difficulty
y,value,value.n.01,a numerical quantity measured or assigned or computed
n,value,value.n.02,the quality (positive or negative) that renders something desirable or valuable
y,value,value.n.03,the amount (of money or goods or services) that is considered to be a fair equivalent for something else
n,value,value.n.04,relative darkness or lightness of a color
n,value,value.n.05,(music) the relative duration of a musical note
n,value,value.n.06,an ideal accepted by some individual or group
n,type,type.n.01,a subdivision of a particular kind of thing
n,type,character.n.05,a person of a specified kind (usually with many eccentricities)
n,type,type.n.03,(biology) the taxonomic group whose characteristics are used to define the next higher taxon
y,type,type.n.04,printed characters
n,type,type.n.05,all of the tokens of the same symbol
n,type,type.n.06,a small metal block bearing a raised character on one end; produces a printed character when inked and pressed on paper
n,process,procedure.n.01,a particular course of action intended to achieve a result
n,process,process.n.02,(psychology) the performance of some composite cognitive activity; an operation that affects mental contents
y,process,summons.n.03,a writ issued by authority of law; usually compels the defendant's attendance in a civil suit; failure to appear results in a default judgment against the defendant
n,process,process.n.04,a mental process that you are not directly aware of
n,process,process.n.05,a natural prolongation or projection from a part of an organism either animal or plant
n,process,process.n.06,a sustained phenomenon or one marked by gradual changes through a series of states
n,feature,feature.n.01,a prominent attribute or aspect of something
n,feature,feature.n.02,the characteristic parts of a person's face: eyes and nose and mouth and chin
y,feature,feature.n.03,the principal (full-length) film in a program at a movie theater
y,feature,feature.n.04,a special or prominent article in a newspaper or magazine
n,feature,feature_of_speech.n.01,(linguistics) a distinctive characteristic of a linguistic unit that serves to distinguish it from other units of the same kind
n,feature,feature.n.06,an article of merchandise that is displayed or advertised more than other articles
n,number,number.n.01,the property possessed by a sum or total or indefinite quantity of units or individuals
y,number,number.n.02,a concept of quantity involving zero and units
n,number,act.n.04,a short theatrical performance that is part of a longer program
n,number,phone_number.n.01,the number is used in calling a particular telephone
y,number,numeral.n.01,a symbol used to represent a number
y,number,issue.n.02,one of a series published periodically
n,number,number.n.07,a select company of people
y,number,number.n.08,a numeral or string of numerals that is used for identification
y,number,number.n.09,a clothing measurement
n,number,number.n.10,the grammatical category for the forms of nouns and pronouns and verbs that are used depending on the number of entities involved (singular or dual or plural)
n,number,number.n.11,an item of merchandise offered for sale
y,text,text.n.01,the words of something written
y,text,text.n.02,a passage from the Bible that is used as the subject of a sermon
y,text,textbook.n.01,a book prepared for use in schools or colleges
y,text,text.n.04,the main body of a written work (as distinct from illustrations or footnotes etc.)
y,equation,equation.n.01,a mathematical statement that two expressions are equal
n,equation,equality.n.02,a state of being essentially equal or equivalent; equally balanced
n,equation,equation.n.03,the act of regarding as equal
y,method,method.n.01,"a way of doing something, especially a systematic way; implies an orderly logical arrangement (usually in steps)"
n,method,method_acting.n.01,an acting technique introduced by Stanislavsky in which the actor recalls emotions or reactions from his or her own life and uses them to identify with the character being portrayed
y,program,plan.n.01,a series of steps to be carried out or goals to be accomplished
n,program,program.n.02,a system of projects or services intended to meet a public need
y,program,broadcast.n.02,a radio or television show
y,program,platform.n.02,a document stating the aims and principles of a political party
y,program,program.n.05,an announcement of the events that will occur as part of a theatrical or sporting event
n,program,course_of_study.n.01,an integrated course of academic studies
y,program,program.n.07,(computer science) a sequence of instructions that a computer can interpret and execute
n,program,program.n.08,a performance (or series of performances) at a public presentation
y,sentence,sentence.n.01,a string of words satisfying the grammatical rules of a language
y,sentence,conviction.n.02,(criminal law) a final judgment of guilty in a criminal case and the punishment that is imposed
n,sentence,prison_term.n.01,the period of time a prisoner is imprisoned
y,question,question.n.01,an instance of questioning
y,question,question.n.02,the subject matter at issue
y,question,question.n.03,a sentence of inquiry that asks for a reply
y,question,doubt.n.02,uncertainty about the truth or factuality or existence of something
y,question,motion.n.05,a formal proposal for action made to a deliberative assembly for discussion and vote
y,question,question.n.06,an informal reference to a marriage proposal
y,file,file.n.01,a set of related records (either written or electronic) kept together
n,file,file.n.02,a line of persons or things ranged one behind the other
n,file,file.n.03,office furniture consisting of a container for keeping papers in order
n,file,file.n.04,a steel hand tool with small sharp teeth on some or all of its surfaces; used for smoothing wood or metal
n,property,property.n.01,something owned; any tangible or intangible possession that is owned by someone; 
n,property,property.n.02,a basic or essential attribute shared by all members of a class
n,property,place.n.02,any area set aside for a particular purpose
n,property,property.n.04,a construct whereby objects or individuals can be distinguished
n,property,property.n.05,any movable articles or objects used on the set of a play or movie
